TYPE,RC,Site,MRBTS_Id,MRBTS_Name,NRBTS_Name,NRBTS_Id,LNBTS_Name,LNBTS_Id,RNC_Name,RNC_Id,WBTS_Name,WBTS_Id,BSC_Name,BSC_Id,BCF_Name,BCF_Id,SMOD,BBMOD,RMOD_5G,RMOD_LTE,RMOD_3G,RMOD_2G,RMOD_RFS_SA,TECH_RFS_SA,creation_date
GSM SA,rc7,AA00001,,,,,,,,,,,BCORQ,359707,AA00001G100,85,BOIA,BB2F,,,,TSTB-1,,,7/23/24
GSM SA,rc5,AP00001,,,,,,,,,,,BASUB,374498,AP00001G100,1863,FSMF,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00030,,,,,,,,,,,BASUB,374498,AP00030G100,1935,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AP00047,,,,,,,,,,,BASUB,374498,AP00047G100,1983,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AP00062,,,,,,,,,,,BASUB,374498,AP00062G100,2944,ESMB,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AP00073,,,,,,,,,,,BASUB,374498,AP00073G100,2061,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00074,,,,,,,,,,,BASUB,374498,AP00074G100,2067,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00076,,,,,,,,,,,BASUB,374498,AP00076G100,2079,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AP00077,,,,,,,,,,,BASUB,374498,AP00077G100,2085,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AP00088,,,,,,,,,,,BASUB,374498,AP00088G100,2115,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00091,,,,,,,,,,,BASUB,374498,AP00091G100,2121,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AP00092,,,,,,,,,,,BASUB,374498,AP00092G100,2127,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00128,,,,,,,,,,,BASUB,374498,AP00128G100,2187,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AP00144,,,,,,,,,,,BASUB,374498,AP00144G100,2217,ESMB,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AP00167,,,,,,,,,,,BASUB,374498,AP00167G100,2229,ESMC,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AP00184,,,,,,,,,,,BASUB,374498,AP00184G100,2241,ESMC,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AP00200,,,,,,,,,,,BASUB,374498,AP00200G100,2265,ESMC,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AS00062,,,,,,,,,,,BASUB,374498,AS00062G100,1418,ESMB,,,,,FXFA-0,,,7/23/24
GSM SA,rc5,AS00109,,,,,,,,,,,BASUB,374498,AS00109G100,2660,ESMA,,,,,,,,7/23/24
GSM SA,rc5,AS00113,,,,,,,,,,,BASUB,374498,AS00113G100,2666,ESMB,,,,,,,,7/23/24
GSM SA,rc5,AS00177,,,,,,,,,,,BASUB,374498,AS00177G100,2684,ESMB,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,AS00919,,,,,,,,,,,BASUB,374498,AS00919G100,2690,ESMB,,,,,FXFC-0,,,7/23/24
GSM SA,rc7,ATP0003,,,,,,,,,,,BCORO,403162,ATP0003G100,2051,,,,,,,,,7/23/24
GSM SA,rc5,BA00059,,,,,,,,,,,BTRE4,370987,BA00059G100,169,BOIA,BB2E+BB2F,,,,TSTB-1/TSTB-2/TSTB-3,,,7/23/24
GSM SA,rc5,BA00101,,,,,,,,,,,BROS9,364043,BA00101G100,850,ESMA,,,,,,,,7/23/24
GSM SA,rc5,BA00101,,,,,,,,,,,BROS9,364043,BA00101G100,845,,,,,,,,,7/23/24
GSM SA,rc5,BA00166,,,,,,,,,,,BMAR8,364042,BA00166G100,721,BOIA,BB2E+BB2E+BB2F,,,,TSTB-2/TSTB-3/TSTB-4/TSTB-5,,,7/23/24
GSM SA,rc5,BA00277,,,,,,,,,,,BMAR8,364042,BA00277G100,61,BOIA,BB2E+BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3/TSTB-4/TSTB-5,,,7/23/24
GSM SA,rc5,BA00364,,,,,,,,,,,BTRE4,370987,BA00364G100,178,BOIA,BB2F,,,,TSTB-1/TSTB-2,,,7/23/24
GSM SA,rc5,BA00366,,,,,,,,,,,BTRE4,370987,BA00366G100,253,,,,,,,,,7/23/24
GSM SA,rc5,BA00395,,,,,,,,,,,BTRE4,370987,BA00395G100,191,BOIA,BB2F+BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3/TSTB-4/TSTB-5/TSTB-6,,,7/23/24
GSM SA,rc5,BA00453,,,,,,,,,,,BROS9,364043,BA00453G100,173,BOIA,BB2F+BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3/TSTB-4/TSTB-5,,,7/23/24
GSM SA,rc8,BA00796,,,,,,,,,,,BJONN,374651,BA00796G100,155,BOIA,BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3/TSTB-4,,,7/23/24
GSM SA,rc5,BA00830,,,,,,,,,,,BTRE4,370987,BA00830G100,199,BOIA,BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3,,,7/23/24
GSM SA,rc5,BA00853,,,,,,,,,,,BMAR8,364042,BA00853G100,197,BOIA,BB2F+BB2F+BB2F,,,,TSTB-1/TSTB-2/TSTB-3/TSTB-4/TSTB-5,,,7/23/24
GSM SA,rc8,BA00926,,,,,,,,,,,BJONN,374651,BA00926G100,168,,,,,,,,,7/23/24
GSM SA,rc8,BAR0002,,,,,,,,,,,BJONN,374651,BAR0002G100,181,ESMA,,,,,,,,7/23/24
GSM SA,rc8,BAR0016,,,,,,,,,,,BJONN,374651,BAR0016G100,187,BOIA,BB2E+BB2F,,,,TSTB-1/TSTB-3,,,7/23/24
GSM SA,rc5,BO00002,,,,,,,,,,,BASUB,374498,BO00002G100,1413,ESMB,,,,,FXFC-0,,,7/23/24
GSM SA,rc5,BT00E,,,,,,,,,,,BNEUD,403166,BT00ESTIP,1001,,,,,,,,,7/23/24
GSM SA,rc7,BT00S,,,,,,,,,,,BSANA,242588,BT00STEST,999,,,,,,,,,7/23/24
